route,trip_count,pct_of_total
San Francisco Caltrain Station 2  (Townsend St at 4th St) → The Embarcadero at Sansome St,61,0.03491220439092512
Grand Ave at Webster St → Grand Ave at Santa Clara Ave,61,0.03491220439092512
Embarcadero BART Station (Beale St at Market St) → China Basin St at 3rd St,61,0.03491220439092512
Clay St at Battery St → San Francisco Caltrain (Townsend St at 4th St),61,0.03491220439092512
San Francisco Caltrain Station 2  (Townsend St at 4th St) → 11th St at Bryant St,61,0.03491220439092512
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Broadway at Battery St,61,0.03491220439092512
Embarcadero BART Station (Beale St at Market St) → 2nd St at Townsend St,61,0.03491220439092512
The Alameda at Bush St → Julian St at The Alameda,61,0.03491220439092512
Haste St at Telegraph Ave → Parker St at Fulton St,61,0.03491220439092512
San Francisco Ferry Building (Harry Bridges Plaza) → China Basin St at 3rd St,60,0.034339873171401754
San Francisco Caltrain Station 2  (Townsend St at 4th St) → 8th St at Brannan St,60,0.034339873171401754
Townsend St at 5th St → Townsend St at 7th St,60,0.034339873171401754
San Fernando St at 4th St → San Salvador St at 9th St,60,0.034339873171401754
3rd St at Townsend St → Howard St at Beale St,60,0.034339873171401754
Market St at 10th St → Union Square (Powell St at Post St),60,0.034339873171401754
San Francisco Ferry Building (Harry Bridges Plaza) → 4th St at Mission Bay Blvd S,60,0.034339873171401754
San Francisco Public Library (Grove St at Hyde St) → Townsend St at 7th St,59,0.033767541951878394
San Francisco Caltrain Station 2  (Townsend St at 4th St) → Powell St BART Station (Market St at 5th St),59,0.033767541951878394
MLK Jr Way at University Ave → Bancroft Way at Telegraph Ave,59,0.033767541951878394
Haste St at Telegraph Ave → Downtown Berkeley BART,59,0.033767541951878394
McCoppin St at Valencia St → Market St at 10th St,59,0.033767541951878394
Market St at 10th St → Market St at 10th St,59,0.033767541951878394
Market St at 10th St → 11th St at Bryant St,59,0.033767541951878394
The Embarcadero at Sansome St → Davis St at Jackson St,59,0.033767541951878394
Howard St at Beale St → Howard St at Mary St,59,0.033767541951878394
14th St at Filbert St → West Oakland BART Station,58,0.03319521073235503
The Embarcadero at Bryant St → 3rd St at Townsend St,58,0.03319521073235503
Folsom St at 3rd St → San Francisco Caltrain (Townsend St at 4th St),58,0.03319521073235503
Haste St at College Ave → Haste St at Telegraph Ave,58,0.03319521073235503
Davis St at Jackson St → Embarcadero BART Station (Beale St at Market St),58,0.03319521073235503
2nd Ave at E 18th St → El Embarcadero at Grand Ave,58,0.03319521073235503
San Salvador St at 9th St → 2nd St at Julian St,58,0.03319521073235503
Haste St at Telegraph Ave → Telegraph Ave at Ashby Ave,58,0.03319521073235503
West Oakland BART Station → Union St at 10th St,58,0.03319521073235503
2nd St at Townsend St → San Francisco Caltrain (Townsend St at 4th St),58,0.03319521073235503
Spear St at Folsom St → San Francisco Caltrain (Townsend St at 4th St),58,0.03319521073235503
Clay St at Battery St → The Embarcadero at Sansome St,57,0.032622879512831666
Townsend St at 5th St → Market St at 10th St,57,0.032622879512831666
Valencia St at Cesar Chavez St → Mission Playground,57,0.032622879512831666
Shattuck Ave at 55th St → MacArthur BART Station,57,0.032622879512831666
Myrtle St at Polk St → Market St at 10th St,57,0.032622879512831666
San Fernando St at 7th St → Ryland Park,57,0.032622879512831666
MLK Jr Way at University Ave → Downtown Berkeley BART,57,0.032622879512831666
